Annex 5,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,Others,% Growth,Managers,% Growth,Professionals,% Growth,Technicians And Associate Professionals,% Growth,Clerical Support Workers,% Growth,Service And Sales Workers,% Growth,"Skilled Agricultural, Forestry & Fishery Workers",% Growth,Craft And Related Trades Workers,% Growth,Plant And Machine Operators & Assemblers,% Growth,Elementary Occupations,% Growth,Overall Index,% Growth
2022 April,2078 Chaitra,87.71396005065932,16.698426927540385,-,-,91.68941276991256,7.574336813531963,88.74437746880946,3.98717898834233,86.83302974578527,10.109853969964059,-,-,-,-,83.24379182866421,10.843257457393294,-,-,90.19121735068133,7.645201043896069,88.5885465367719,8.523963251524865
2022 July,2079 Asadh,87.71396005065932,16.698426927540385,-,-,92.37388467473494,7.574336813531963,88.75236370419056,3.9871789883423427,87.21858451953014,10.109853969964046,-,-,-,-,83.71392844360567,10.923538136045806,-,-,91.28150521863145,8.527437059075796,89.33362641298842,9.088076838876713
2022 October,2079 Asojh,100.00000762939452,14.006946638413506,-,-,98.59201755391214,8.90998064652426,97.02423748451062,10.100649607033665,97.763895279365,13.991957156500998,-,-,-,-,90.35481538656187,17.019224386285973,-,-,93.12848373711184,9.972049562125923,93.84375256758143,11.587210512100265
2023 January,2079 Poush,100.00000762939452,14.006946638413506,-,-,99.55641691807219,8.909980646524282,97.23880498372428,10.100649607033665,98.80777050848768,13.991957156501005,-,-,-,-,91.20664391096618,14.302522211311983,-,-,93.91592436597428,8.490479368033997,94.68420642552107,10.269301618465137
2023 April,2079 Chaitra,100.00000762939452,14.006946638413506,-,-,99.85892170262352,8.90998064652426,97.70813608287722,10.100649607033645,98.9826700655073,13.991957156500995,-,-,-,-,92.48994136151012,11.107314226959662,-,-,94.60532314498478,4.894163671325706,95.24738229570772,7.516587662008689
2023 July,2080 Asadh,100.00000762939452,14.006946638413506,-,-,100.60437992169646,8.909980646524263,97.71692897991096,10.100649607033654,99.4221714980094,13.991957156500995,-,-,-,-,92.85827991647099,10.923333360260909,-,-,97.57311879488469,6.892539251170302,97.11813530354202,8.71397390112195
2023 October,2080 Asojh,100.00000762939452,0,99.4364013671875,-,98.93539428710938,0.34828046095058424,99.59168243408203,2.6461892575876087,99.00730895996095,1.271853660334253,98.89507293701172,-,99.13733673095703,-,99.28888702392578,9.887764807156747,99.57974243164062,-,99.01290130615234,6.318601283847124,99.14617510346147,5.650266949908582
2024 January,2080 Poush,100.00000762939452,0,100.02837371826172,-,99.90315246582031,0.34828046095056175,99.81192779541016,2.6461892575876096,100.06446075439453,1.2718536603342367,100.20601654052734,-,99.89366149902344,-,99.87728881835936,9.506593528271104,100.0516586303711,-,99.78148651123047,6.245545880376048,99.94656930957943,5.5578042872416695
2024 April,2080 Chaitra,100.00000762939452,0,100.15160369873047,-,100.20671081542969,0.3482804609505726,100.2936782836914,2.6461892575876185,100.24158477783203,1.2718536603342456,100.4237289428711,-,100.28353881835938,-,100.37745666503905,8.52797092031819,100.12897491455078,-,100.40764617919922,6.1331887480815945,100.33273372272204,5.339098360967223
2024 July,2081 Asadh,100.00000762939452,0,100.38361358642578,-,100.95476531982422,0.34828046095057863,100.30270385742188,2.6461892575876065,100.68667602539062,1.271853660334242,100.47518157958984,-,100.68546295166016,-,100.45636749267577,8.182455655047132,100.23965454101562,-,100.79798126220703,3.3050726543870645,100.57452279584705,3.5589516638701033
2024 October,2081 Asojh,100,-7.629393938834994e-06,101.8371810913086,2.414387177242827,102.42261505126953,3.5247454051077876,102.42620849609375,2.8461473817232186,102.7510757446289,3.7813034451647853,101.84097290039062,2.9788136819062894,104.62586212158203,5.536284886813103,101.67670440673828,2.4049190744147575,101.91030883789062,2.34040212330322,102.84681701660156,3.8721375294261673,102.42789113413453,3.3099774421438966
2025 January,2081 Poush,100.00000762939453,2.220446049250313e-14,102.08119201660156,2.052236002678387,103.27555847167969,3.375675264114575,102.73390197753906,2.9274799582252653,103.64710998535156,3.5803413159348763,102.07232666015625,1.862473116945118,105.16650390625,5.278455437613627,101.78846740722656,1.9135267000918832,102.14689636230469,2.094155919667662,103.3380126953125,3.564314692467274,102.79278210445109,2.8477343590010085
2025 April,2081 Chaitra,100.00000762939453,2.220446049250313e-14,102.39495086669922,2.2399513189194975,103.2945556640625,3.0814751063132917,102.9300537109375,2.628655636488686,104.42710876464844,4.175436767178908,102.20950317382812,1.7782393163003452,105.4759292602539,5.17770962520514,101.8649673461914,1.4819170863396236,102.1417465209961,2.0101789798237624,103.49616241455078,3.0759771320995277,102.94274139404297,2.6013520956519542
2025 July,2082 Asadh,100.00000762939453,2.220446049250313e-14,102.71867370605469,2.3261367430437385,104.0933837890625,3.1089354319185913,103.11988830566406,2.808682458098799,104.69439697265625,3.980388573215965,102.52684783935547,2.0419632266505783,105.96731567382812,5.245894061890377,101.63652038574219,1.1747915264330722,103.34809875488281,3.1010124966016184,103.70512390136719,2.884127839423467,103.2190933227539,2.6294636587786746
2025 OctoberR,2082 Asojh,100.00000762939453,7.629394538355427e-06,104.82828521728516,2.937143481313271,106.53699493408203,4.017061935738468,106.09635162353516,3.5832070534772953,108.46392822265625,5.559895540389007,107.47976684570312,5.536861819680112,108.3304443359375,3.5407901442671204,105.29244995117188,3.556119924943175,106.2786865234375,4.286492441599492,108.42626190185547,5.425004921983415,106.880744934082,4.347305321142628
